id,season,team_api_id,players,total_score,average_score,team_long_name,total_points,avg_score_discrete,total_score_discrete,avg_score_quantile,total_score_quantile
0,2008/2009,10260,"[34944, 40961, 30726, 67850, 30865, 30615, 30362, 30620, 37150, 38817, 30373, 27430, 113836, 30893, 30645, 32569, 35906, 165709, 30802, 38994, 24148, 24147, 24150, 24154, 24156, 30829, 43248, 40945]",2094.5,74.80357142857143,Manchester United,90,"(74.344, 75.737]","(2028.006, 2133.256]","(74.479, 75.089]","(2037.218, 2449.007]"
1,2009/2010,10260,"[34944, 40961, 30726, 67850, 30865, 30615, 30362, 30619, 30620, 30373, 27430, 32569, 35906, 165709, 38994, 24147, 24148, 30802, 24150, 24154, 24156, 30829, 43248, 40945, 35327]",1908.0,76.32,Manchester United,85,"(75.737, 77.131]","(1817.505, 1922.755]","(76.163, 77.607]","(1891.036, 1953.176]"
2,2010/2011,10260,"[34944, 40961, 30726, 70409, 30865, 30615, 30362, 30619, 30620, 39968, 150176, 30373, 27430, 32569, 165823, 35906, 165709, 38994, 30802, 24148, 24150, 24154, 24156, 30829, 43248, 40945, 35327]",2077.0,76.92592592592592,Manchester United,80,"(75.737, 77.131]","(2028.006, 2133.256]","(76.163, 77.607]","(2037.218, 2449.007]"
3,2011/2012,10260,"[34944, 40961, 182917, 70409, 30865, 186137, 30620, 150176, 30373, 27430, 113836, 32569, 23354, 165823, 26818, 160713, 30802, 38994, 24148, 24154, 30829, 43248, 40945, 35327]",1770.5,73.77083333333333,Manchester United,89,"(72.951, 74.344]","(1712.255, 1817.505]","(73.77, 74.479]","(1754.043, 1782.147]"
4,2012/2013,10260,"[34944, 40961, 182917, 70409, 30865, 186137, 30620, 118434, 30373, 113836, 32569, 23354, 165823, 26818, 160713, 38994, 24148, 24154, 144993, 30829, 43248, 40945, 30843, 35327]",1930.5,80.4375,Manchester United,89,"(79.917, 81.311]","(1922.755, 2028.006]","(79.366, 82.704]","(1891.036, 1953.176]"
5,2013/2014,10260,"[34944, 182917, 70409, 30865, 186137, 30620, 118434, 113836, 32569, 23354, 165823, 39618, 26818, 160713, 38994, 24148, 449241, 24154, 144993, 30829, 43248, 40945, 30843, 41468, 35327]",2002.7333333333331,80.10933333333334,Manchester United,64,"(79.917, 81.311]","(1922.755, 2028.006]","(79.366, 82.704]","(1953.176, 2037.218]"
6,2014/2015,10260,"[34944, 182917, 161035, 22543, 32657, 186137, 575780, 46509, 501040, 23354, 165823, 39618, 164676, 362694, 160713, 38994, 24148, 449241, 30829, 43248, 161012, 30843, 41468, 35327]",1793.4619047619046,74.72757936507936,Manchester United,70,"(74.344, 75.737]","(1712.255, 1817.505]","(74.479, 75.089]","(1782.147, 1809.758]"
7,2015/2016,10260,"[34944, 109060, 182917, 161035, 693138, 30872, 186137, 575780, 46893, 696365, 23354, 165823, 39618, 164676, 362694, 465614, 299215, 303824, 639058, 449241, 46820, 30829, 161012, 413557, 41468, 35327]",1905.615836940837,73.29291680541681,Manchester United,66,"(72.951, 74.344]","(1817.505, 1922.755]","(73.177, 73.77]","(1891.036, 1953.176]"
8,2008/2009,9825,"[39297, 23686, 30986, 27277, 30613, 30616, 31013, 78513, 38835, 36410, 31291, 3520, 26181, 75342, 30935, 75489, 105826, 30831, 30960, 30843, 30973, 23678, 26111]",1726.0,75.04347826086956,Arsenal,72,"(74.344, 75.737]","(1712.255, 1817.505]","(74.479, 75.089]","(1698.154, 1727.406]"
9,2009/2010,9825,"[39297, 23686, 27277, 187668, 26005, 30613, 30616, 63520, 31013, 78513, 38835, 36410, 31291, 3520, 26181, 31435, 75342, 30935, 75489, 41704, 37233, 34418, 30843, 30973, 23678, 26111]",1963.0,75.5,Arsenal,75,"(74.344, 75.737]","(1922.755, 2028.006]","(75.089, 76.163]","(1953.176, 2037.218]"
